#Name(变量名),level(模糊分级), all_range_min(参数取值范围最小值),all_range_max(参数取值范围最大值),action_range_min(参数调整区间最小值),action_range_max(参数调整区间最大值),action_maxVal(参数单次最大调整量)
#Defect
SHORTSHOT,3,0,1,-1,-1,-1
FLASH,3,0,1,-1,-1,-1
SHRINKAGE,3,0,1,-1,-1,-1
WELDLINE,3,0,1,-1,-1,-1
ABERRATION,3,0,1,-1,-1,-1
AIRTRAP,3,0,1,-1,-1,-1
GASVEINS,3,0,1,-1,-1,-1
MATERIALFLOWER,3,0,1,-1,-1,-1
#Parameter
CT,3,0,120,0,120,20
DDAM,3,0,30,0,200,2
DDBM,3,0,30,0,30,2
DVAM,3,0,30,0,200,2
DVBM,3,0,30,0,30,2
IL0,3,0,150,0,150,5
IL1,3,0,150,0,150,5
IL2,3,0,150,0,150,5
IL3,3,0,150,0,150,5
IL4,3,0,150,0,150,5
IL5,3,0,150,0,150,5
IP0,3,0,200,0,200,20
IP1,3,0,200,0,200,20
IP2,3,0,200,0,200,20
IP3,3,0,200,0,200,20
IP4,3,0,200,0,200,20
IP5,3,0,200,0,200,20
IT,3,0,20,0,20,2
IV0,3,0,120,0,120,15
IV1,3,0,120,0,120,12
IV2,3,0,120,0,120,15
IV3,3,0,120,0,120,12
IV4,3,0,120,0,120,10
IV5,3,0,120,0,120,10
MBP0,3,10,50,10,50,10
MBP1,3,10,50,10,50,10
MBP2,3,10,50,10,50,10
MBP3,3,10,50,10,50,10
MEL,3,0,200,0,200,10
ML0,3,0,200,0,200,10
ML1,3,0,200,0,200,10
ML2,3,0,200,0,200,10
ML3,3,0,200,0,200,10
MP0,3,0,200,0,200,10
MP1,3,0,200,0,200,10
MP2,3,0,200,0,200,10
MP3,3,0,200,0,200,10
MSR0,3,0,200,0,200,10
MSR1,3,0,200,0,200,10
MSR2,3,0,200,0,200,10
MSR3,3,0,200,0,200,10
NT,3,150,350,200,300,10
PP0,3,0,140,0,140,25
PP1,3,0,140,0,140,25
PP2,3,0,140,0,140,25
PP3,3,0,140,0,140,25
PP4,3,0,140,0,140,25
PT0,3,0,10,0,10,3
PT1,3,0,8,0,8,2
PT2,3,0,6,0,6,2
PT3,3,0,5,0,5,2
PT4,3,0,5,0,5,2
PV0,3,0,100,0,100,10
PV1,3,0,100,0,100,10
PV2,3,0,100,0,100,10
PV3,3,0,100,0,100,10
PV4,3,0,100,0,100,10
VPTL,3,30,60,30,60,10
VPTM,3,-1,-1,-1,-1,-1
VPTP,3,0,1,0,1,-1
VPTT,3,0,1,0,1,-1
VPTV,3,0,1,0,1,-1
BT1,3,150,350,200,300,10
DLSHORTSHOT,3,0,1,-1,-1,-1
DLFLASH,3,0,1,-1,-1,-1
DLSHRINKAGE,3,0,1,-1,-1,-1
DLWELDLINE,3,0,1,-1,-1,-1
DLABERRATION,3,0,1,-1,-1,-1
DLAIRTRAP,3,0,1,-1,-1,-1
DLGASVEINS,3,0,1,-1,-1,-1
DLMATERIALFLOWER,3,0,1,-1,-1,-1
